,Hindi,Bhili
7856,उन्होंने दावा किया कि भाजपा नेताओं ने उनसे बातचीत के दौरान ‘कुछ आश्वासन दिया था कि यदि आप (भाजपा में) शामिल होना चाहते हैं तो हम आपको टिकट देंगे।,तिहुये दावा करयो कि भाजपा नेताओं ये तिहून ही वात करीन कइक आलवानो वादो करयो हतो।
55986,"यहोवा के प्रतिनिधि और कलीसिया के सिर के तौर पर, यीशु ने इन आध्यात्मिक मनुष्यों को प्रदान किया है ताकि हम व्यक्‍तिगत रीति से प्रोत्साहित हों और प्रौढ़ता प्राप्त करें ।",यहोवा ना प्रतिनिधि अने कलीसिया ना सिर ना तोर पर यीशू ने इना आध्‍यात्मिक मनूष्‍यो ने प्रदान करी अने हम व्‍यक्तिगत ठंग थी प्रोत्‍साहित थायी अने प्रोढता प्राप्‍त करीये।
29070,"जानवरों के सींग हों, दांत हों, ये सब, 3-D printing से तैयार होते हैं। इससे फिर ड्रेस और टोपी जैसी चीजें बनाई जाती हैं।",जनावर ना सीगडा के दात ओहे यां बदा नो 3D प्रिटिग थी तयार थाय से इनाथी फेर कपडा अने टोपियो जेवी घणी चीजो बणवी सके से
33668,मोदी ने कहा कि सरकार के शीर्ष अफसरों के पास चुनौतियों से निपटने के लिए सामूहिक नजरिया और क्षमताएं हैं।,मोदी ने किदु की सरकार के उपर बैठा अधिकारी कने चुनोतियो थी निपटावा हारू सामूहिक नजरीया फेर क्षमता से।
67736,"इसके अलावा, निर्यात बंदरगाहों और आवासीय क्षेत्रों के साथ कुछ औद्योगिक और कृषि क्षेत्रों और सैन्य साइटों को जोड़ने के लिए एसआरओ के प्रमुख लाइनों से लगभग 373 किलोमीटर की सहायक लाइन शाखा भी है।",इना बादमा वेसवेनो जगह अने रेवा वाला कई ओद्योगिक अने खेती वाला जगहों पर सैनिक साईड पर जोड़वेनो हारू एसआरओ लाइनों से 373 किलो मीटर नी बीजी साईड वालिये लाईने भी से l
5180,"वह चावल पका सकता है, और मुझे यक़ीन है, वह बर्तन तक साफ कर सकता है।","त्यो सोकला रांदी सके से, अने मने आह से, त्यो बर्तन भाण्डु हुदी साप करि सके से"
70839,"पंचमी (पांचवां दिन) को पूजी जाने वाली देवी स्कंदमाता, स्कंद (या कार्तिकेय) की मां हैं।","पंचमी (पांचवो दन) के पूंजी जवा वाली देवी स्‍कंदमाता, स्‍कंद (या कार्तिकेय) नी मॉ से।"
53039,"1975 में, केदाह के सेपक टकरॉ दल ने एक प्रदर्शन के रूप में सेपक टकरॉ खेलने के लिए द स्पोर्ट्स प्रेस फीस्ट 1975 के साथ जर्मनी का दौरा किया।",1975 मा एक सेपक टकरो अने भेला प्रदर्सन मा सेपक टकरो खेलवा मा द स्पोर्ट्स प्रेस फिस्ट 1975 मा जर्मनी नो भ्रमण करूयो ।
14298,Good Governance आपने देखा होगा उन राज्‍यों की प्रगति अच्‍छी हो रही है जहां पर Governance पर बल है Good Governance का प्रयास है।,"Good Governance तमुयी देखयू आहे तिना राजयों नी प्रगति असल भई री से, जा पर Governance पर बल( ताकत) से, Good Governance नी कोसिस से।"
31286,प्रधानमंत्री ने कहा कि श्री अंसारी का परिवार कई पीढ़ियों से सार्वजनिक जीवन में रहा है।,प्रधानमंत्री ई केदु की श्री अंसारी नो परिवार कई पीढि़यों थी सार्वजनिक जीवन मा रियो से।
28240,"“‘डिजिटल इंडिया’ ने सरकारी दस्तावेजों और सेवाओं को ऑनलाइन उपलब्ध कराकर, नागरिकों को अधिक पारदर्शिता और सुविधा प्रदान की है।”।",डिजिटल इंडियां थी सरकारी कागद अन रिकॉर्ड नें ऑनलेण नागरिकों तक पुगाड़वानुं अन हमांळीन राखवा नी सुविधा आली री से।
