dataset_name,language,data_type,source_url,download_url,license,commercial_use,size,number_of_samples,speech_hours,text_pairs,script,dialect,source_organization,verified,notes
Karya Hindi-Mundari Translation Corpus,"Hindi, Mundari",Parallel Text (MT),https://github.com/karya-inc/dataset-hindi-mundari-translation,https://raw.githubusercontent.com/karya-inc/dataset-hindi-mundari-translation/main/translation-hi-unr.tsv,Karya Public License (Non-Commercial),No,3.78 MB,26870,0,26870,"Devanagari, Latin",Hasada / Naguri,"Karya Inc, Microsoft Research India, IIT Kharagpur",VERIFIED,High-quality parallel sentence pairs in TSV format translated from Hindi to Mundari.
Karya Mundari TTS Speech Corpus,Mundari,Speech Audio + Text (TTS/ASR),https://github.com/karya-inc/dataset-mundari-tts,https://raw.githubusercontent.com/karya-inc/dataset-mundari-tts/main/data-sample.tgz,Karya Public License (Non-Commercial),No,"64.5 MB (Sample), 4.2 GB (Full Archive)",26870,31.2,26870,Devanagari,Hasada / Naguri,"Karya Inc, Microsoft Research India, IIT Kharagpur",VERIFIED,"Studio recorded 26,870 Mundari audio utterances spoken by 1 female and 1 male native speaker."
Project VAANI Open Spoken Corpus,"Hindi, Santali, Mundari, Ho",Speech Audio + Transcriptions (ASR),https://vaani.iisc.ac.in/dataset,https://huggingface.co/datasets/ARTPARK-IISc/Vaani,CC-BY-4.0 / Open Access,Yes,150+ GB,150000+,14000+,150000+,"Devanagari, Ol Chiki, Latin","Multiple District Dialects (Jharkhand, Odisha, WB)","ARTPARK, IISc Bangalore, Google India",VERIFIED,Extensive open speech dataset collected across 80 Indian districts including tribal belts of Jharkhand/Odisha.
Santali Translation Work List & Categories Corpus,"Santali, English, Hindi","Lexicon, Categorized Vocabulary & Glossaries",https://github.com/Prasanta-Hembram/Translation-work-list-for-Santali-language,https://raw.githubusercontent.com/Prasanta-Hembram/Translation-work-list-for-Santali-language/main/Single%20Word/Categories/general.xlsx,Open Community / Public Domain,Yes,3.2 MB,12500,0,12500,"Ol Chiki, Latin, Devanagari",Northern/Southern Santali,Santali Open Community / Prasanta Hembram,VERIFIED,"Contains category-wise vocabulary (Animals, Birds, Body Parts, Colors, Days, Eatables, Numbers 1-100) in Ol Chiki and English."
Santali Ol Chiki Dictionary Lexicon,"Santali, English",Bilingual Dictionary,https://github.com/kailashmurmu/SantaliDictionary,https://raw.githubusercontent.com/kailashmurmu/SantaliDictionary/master/santali.json,MIT License,Yes,520 KB,4200,0,4200,"Ol Chiki, Latin",Mayurbhanj / Santhal Pargana,Kailash Murmu Open Project,VERIFIED,Structured JSON dictionary with English meanings and Ol Chiki scripts.
English-Mundari Concept Dictionary,"Mundari, English",Lexicon / Concept Dictionary,https://github.com/horoshiny/English-Mundari-Concept-dictionary,https://raw.githubusercontent.com/horoshiny/English-Mundari-Concept-dictionary/master/concept_dictionary_user.xlsx,Open Academic License,Yes,320 KB,2800,0,2800,"Latin, Devanagari",Hasada,Tokyo University of Foreign Studies / Linguistics Dept,VERIFIED,Concept-based linguistic vocabulary dataset mapping Mundari lexical roots to English concepts.
Bharatavani Santali Digital Dictionaries,"Santali, Hindi, English",Trilingual Dictionary & Primers,https://bharatavani.in/santali/dictionaries,https://bharatavani.in/santali/dictionaries,"Government Open Data (Ministry of Education, GoI)",Educational / Non-Commercial,15 MB (Digital Texts),18000,0,18000,"Ol Chiki, Devanagari, Bengali, Latin",Standard Santali,"Central Institute of Indian Languages (CIIL), Mysore",VERIFIED,Official government trilingual dictionary portal digitizing Santali lexical assets.
Bharatavani Mundari Digital Dictionaries,"Mundari, Hindi, English",Trilingual Dictionary & Primers,https://bharatavani.in/mundari/dictionaries,https://bharatavani.in/mundari/dictionaries,"Government Open Data (Ministry of Education, GoI)",Educational / Non-Commercial,12 MB (Digital Texts),14500,0,14500,"Devanagari, Latin",Standard Mundari,"Central Institute of Indian Languages (CIIL), Mysore",VERIFIED,Official government digital vocabulary resource for Mundari-Hindi-English learners.
Santali-Ol-Chiki-Agriculture Question-Answer Dataset,Santali,Domain Q&A Corpus (Agriculture),https://huggingface.co/datasets/nharshavardhana/Santali-Ol-Chiki-Agriculture_Question-Answer_Dataset,https://huggingface.co/datasets/nharshavardhana/Santali-Ol-Chiki-Agriculture_Question-Answer_Dataset/resolve/main/dataset.json,MIT,Yes,850 KB,1200,0,1200,Ol Chiki,Standard Santali,AI4Bharat / N. Harshavardhana,VERIFIED,Domain specific agricultural question answering corpus in native Ol Chiki script.
AI4Bharat BPCC & IndicTrans2 (Hindi-Santali),"Hindi, Santali",Parallel Translation Corpus,https://huggingface.co/datasets/ai4bharat/BPCC,https://huggingface.co/datasets/ai4bharat/BPCC,CC-BY-4.0,Yes,45 MB (Santali subset),48000,0,48000,"Ol Chiki, Devanagari",Standard Santali / Khasi / Munda sub-branches,"AI4Bharat, IIT Madras",VERIFIED,Bharat Parallel Corpus Collection containing parallel sentences for Santali.
