src_hin_Deva	tgt_sat_Olck
हम संथाली भाषा सीखते हैं।	ᱟᱵᱚ ᱫᱚ ᱥᱟᱱᱛᱟᱲᱤ ᱯᱟᱹᱨᱥᱤ ᱵᱚᱱ ᱪᱮᱫ-ᱟ᱾
हम सब भारत के नागरिक हैं।	ᱟᱵᱚ ᱡᱚᱛᱚ ᱵᱷᱟᱨᱚᱛ ᱨᱤᱱ ᱱᱟᱜᱟᱹᱨᱤᱠ ᱠᱟᱱᱟᱵᱚ᱾
यह अस्पताल बहुत बड़ा है।	ᱱᱚᱣᱟ ᱨᱟᱱ ᱚᱲᱟᱜ ᱫᱚ ᱟᱹᱰᱤ ᱢᱟᱨᱟᱝ-ᱟ᱾
सूर्य पूर्व में उगता है।	ᱪᱟᱸᱫᱚ ᱫᱚ ᱥᱟᱢᱟᱝ ᱥᱮᱫ-ᱮ ᱨᱟᱠᱟᱵ-ᱟ᱾
डॉक्टर ने दवाई दी।	ᱨᱟᱨᱟᱱᱤᱡ ᱫᱚ ᱨᱟᱱ ᱮ ᱮᱢᱟᱫ-ᱟ᱾
गांव में नई सड़क बन रही है।	ᱟᱹᱛᱩ ᱨᱮ ᱱᱟᱣᱟ ᱰᱟᱦᱟᱨ ᱵᱮᱱᱟᱣᱜ ᱠᱟᱱᱟ᱾
बच्चे मैदान में खेल रहे हैं।	ᱜᱤᱫᱽᱨᱟᱹ ᱠᱚ ᱜᱚᱰᱟ ᱨᱮ ᱠᱚ ᱮᱱᱮᱡ ᱠᱟᱱᱟ᱾
पानी जीवन के लिए जरूरी है।	ᱫᱟᱜ ᱫᱚ ᱡᱤᱣᱤ ᱞᱟᱹᱜᱤᱫ ᱞᱟᱹᱠᱛᱤᱭᱟᱱᱟ᱾
नमस्ते, आप कैसे हैं?	ᱡᱚᱦᱟᱨ, ᱪᱮᱫ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱢᱟ?
मैं स्कूल जा रहा हूँ।	ᱤᱧ ᱫᱚ ᱤᱛᱩᱱ ᱟᱥᱲᱟᱧ ᱪᱟᱞᱟᱜ ᱠᱟᱱᱟ᱾
